1  9.235488e+00
2  8.612474e+00
3  8.003350e+00
4  7.427140e+00
5  6.888938e+00
6  6.388548e+00
7  5.924092e+00
8  5.493252e+00
9  5.093678e+00
10  4.723128e+00
11  4.379500e+00
12  4.060841e+00
13  3.765338e+00
14  3.491309e+00
15  3.237196e+00
16  3.001553e+00
17  2.783042e+00
18  2.580418e+00
19  2.392530e+00
20  2.218307e+00
21  2.056758e+00
22  1.906964e+00
23  1.768069e+00
24  1.639283e+00
25  1.519871e+00
26  1.409152e+00
27  1.306493e+00
28  1.211309e+00
29  1.123057e+00
30  1.041231e+00
31  9.653651e-01
32  8.950247e-01
33  8.298079e-01
34  7.693418e-01
35  7.132806e-01
36  6.613036e-01
37  6.131133e-01
38  5.684340e-01
39  5.270102e-01
40  4.886045e-01
41  4.529973e-01
42  4.199846e-01
43  3.893775e-01
44  3.610008e-01
45  3.346919e-01
46  3.103001e-01
47  2.876859e-01
48  2.667196e-01
49  2.472813e-01
50  2.292595e-01
51  2.125511e-01
52  1.970604e-01
53  1.826986e-01
54  1.693834e-01
55  1.570386e-01
56  1.455935e-01
57  1.349826e-01
58  1.251449e-01
59  1.160242e-01
60  1.075682e-01
61  9.972849e-02
62  9.246014e-02
63  8.572151e-02
64  7.947399e-02
65  7.368180e-02
66  6.831175e-02
67  6.333308e-02
68  5.871726e-02
69  5.443784e-02
70  5.047032e-02
71  4.679195e-02
72  4.338167e-02
73  4.021993e-02
74  3.728863e-02
75  3.457096e-02
76  3.205137e-02
77  2.971540e-02
78  2.754969e-02
79  2.554181e-02
80  2.368028e-02
81  2.195441e-02
82  2.035433e-02
83  1.887087e-02
84  1.749552e-02
85  1.622041e-02
86  1.503824e-02
87  1.394222e-02
88  1.292608e-02
89  1.198401e-02
90  1.111059e-02
91  1.030083e-02
92  9.550081e-03
93  8.854052e-03
94  8.208751e-03
95  7.610480e-03
96  7.055813e-03
97  6.541571e-03
98  6.064809e-03
99  5.622793e-03
100  5.212993e-03
