Cycle   Residual norm
   1    9.549474e+00
   2    7.252840e+00
   3    4.075956e+00
   4    2.035696e+00
   5    9.609720e-01
   6    4.400270e-01
   7    1.979814e-01
   8    8.815130e-02
   9    3.900183e-02
  10    1.718976e-02
  11    7.558597e-03
  12    3.318985e-03
  13    1.456176e-03
  14    6.385915e-04
  15    2.799814e-04
  16    1.227413e-04
  17    5.380757e-05
  18    2.358891e-05
  19    1.034179e-05
  20    4.534329e-06
  21    1.988211e-06
  22    8.718554e-07
  23    3.823476e-07
  24    1.676883e-07
  25    7.354891e-08
Total time: 0.018470 s
Coarse solves: 25
