Cycle   Residual norm
   1    1.110773e+01
   2    7.171463e+00
   3    3.405713e+00
   4    1.484868e+00
   5    6.328755e-01
   6    2.683247e-01
   7    1.136636e-01
   8    4.815497e-02
   9    2.040839e-02
  10    8.652383e-03
  11    3.669580e-03
  12    1.556833e-03
  13    6.606993e-04
  14    2.804746e-04
  15    1.190976e-04
  16    5.058541e-05
  17    2.149081e-05
  18    9.132283e-06
  19    3.881492e-06
  20    1.650080e-06
  21    7.016054e-07
  22    2.983715e-07
  23    1.269092e-07
  24    5.398786e-08
Total time: 0.017610 s
Coarse solves: 24
