Cycle   Residual norm
   1    6.291400e+00
   2    3.311980e+00
   3    1.523011e+00
   4    6.655707e-01
   5    2.843824e-01
   6    1.202543e-01
   7    5.060867e-02
   8    2.125283e-02
   9    8.916769e-03
  10    3.739733e-03
  11    1.568282e-03
  12    6.576629e-04
  13    2.758007e-04
  14    1.156656e-04
  15    4.850982e-05
  16    2.034553e-05
  17    8.533351e-06
  18    3.579143e-06
  19    1.501223e-06
  20    6.296748e-07
  21    2.641140e-07
  22    1.107820e-07
  23    4.646752e-08
Total time: 0.001072 s
Coarse solves: 23
