Cycle   Residual norm
   1    9.825709e+00
   2    9.781664e+00
   3    9.737701e+00
   4    9.693907e+00
   5    9.650302e+00
   6    9.606891e+00
   7    9.563675e+00
   8    9.520652e+00
   9    9.477824e+00
  10    9.435187e+00
  11    9.392743e+00
  12    9.350490e+00
  13    9.308426e+00
  14    9.266552e+00
  15    9.224866e+00
  16    9.183368e+00
  17    9.142056e+00
  18    9.100930e+00
  19    9.059989e+00
  20    9.019232e+00
  21    8.978658e+00
  22    8.938267e+00
  23    8.898057e+00
  24    8.858029e+00
  25    8.818180e+00
  26    8.778510e+00
  27    8.739019e+00
  28    8.699706e+00
  29    8.660569e+00
  30    8.621608e+00
  31    8.582823e+00
  32    8.544212e+00
  33    8.505774e+00
  34    8.467509e+00
  35    8.429417e+00
  36    8.391496e+00
  37    8.353745e+00
  38    8.316164e+00
  39    8.278752e+00
  40    8.241508e+00
  41    8.204432e+00
  42    8.167523e+00
  43    8.130779e+00
  44    8.094201e+00
  45    8.057788e+00
  46    8.021538e+00
  47    7.985451e+00
  48    7.949526e+00
  49    7.913763e+00
  50    7.878161e+00
  51    7.842719e+00
  52    7.807436e+00
  53    7.772312e+00
  54    7.737346e+00
  55    7.702538e+00
  56    7.667885e+00
  57    7.633389e+00
  58    7.599048e+00
  59    7.564861e+00
  60    7.530828e+00
  61    7.496948e+00
  62    7.463221e+00
  63    7.429645e+00
  64    7.396220e+00
  65    7.362946e+00
  66    7.329821e+00
  67    7.296845e+00
  68    7.264017e+00
  69    7.231337e+00
  70    7.198804e+00
  71    7.166418e+00
  72    7.134177e+00
  73    7.102081e+00
  74    7.070129e+00
  75    7.038322e+00
  76    7.006657e+00
  77    6.975134e+00
  78    6.943754e+00
  79    6.912514e+00
  80    6.881415e+00
  81    6.850456e+00
  82    6.819636e+00
  83    6.788955e+00
  84    6.758412e+00
  85    6.728006e+00
  86    6.697737e+00
  87    6.667604e+00
  88    6.637607e+00
  89    6.607744e+00
  90    6.578016e+00
  91    6.548422e+00
  92    6.518960e+00
  93    6.489631e+00
  94    6.460434e+00
  95    6.431369e+00
  96    6.402434e+00
  97    6.373629e+00
  98    6.344954e+00
  99    6.316408e+00
 100    6.287990e+00
Total time: 0.175063 s
Coarse solves: 100
