Cycle   Residual norm
   1    1.181880e+01
   2    1.034377e+01
   3    6.283147e+00
   4    3.293637e+00
   5    1.607897e+00
   6    7.550776e-01
   7    3.466048e-01
   8    1.568940e-01
   9    7.039637e-02
  10    3.140820e-02
  11    1.396218e-02
  12    6.192118e-03
  13    2.741973e-03
  14    1.213004e-03
  15    5.362801e-04
  16    2.370032e-04
  17    1.047169e-04
  18    4.626192e-05
  19    2.043636e-05
  20    9.027650e-06
  21    3.987947e-06
  22    1.761713e-06
  23    7.782804e-07
  24    3.438390e-07
  25    1.519126e-07
  26    6.712000e-08
Total time: 0.074272 s
Coarse solves: 26
